year,title,category,nominee,artist,nominated,decade
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Song,This Land,Gary Clark Jr.,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Song,Fear Inoculum,Tool,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Song,Give Yourself A Try,The 1975,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Song,Harmony Hall,Vampire Weekend,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Song,History Repeats,Brittany Howard,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Album,Social Cues,Cage The Elephant,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Album,amo,Bring Me The Horizon,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Album,In The End,The Cranberries,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Album,Trauma,I Prevail,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Album,Feral Roots,Rival Sons,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Alternative Music Album,Father Of The Bride,Vampire Weekend,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Alternative Music Album,U.F.O.F.,Big Thief,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Alternative Music Album,Assume Form,James Blake,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Alternative Music Album,"I,I",Bon Iver,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Alternative Music Album,Anima,Thom Yorke,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Performance,Come Home,Anderson .Paak Featuring André 3000,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Performance,Love Again,Daniel Caesar & Brandy,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Performance,Could've Been,H.E.R. Featuring Bryson Tiller,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Performance,Exactly How I Feel,Lizzo Featuring Gucci Mane,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Performance,Roll Some Mo,Lucky Daye,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Traditional R&B Performance,Jerome,Lizzo,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Traditional R&B Performance,Time Today,BJ The Chicago Kid,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Traditional R&B Performance,Steady Love,India.Arie,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Traditional R&B Performance,Real Games,Lucky Daye,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Traditional R&B Performance,Built For Love,PJ Morton Featuring Jazmine Sullivan,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Song,Say So,PJ Morton Featuring JoJo,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Song,Could've Been,H.E.R. Featuring Bryson Tiller,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Song,Look At Me Now,Emily King,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Song,No Guidance,Chris Brown Featuring Drake,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Song,Roll Some Mo,Lucky Daye,True,2010
